,Window,History,SVD rank,latent_recon_mse,latent_fwd_mse,MSE,MAE,IIEE
57,5,10,4,0.01850716569870079,0.024497615792283836,0.04081079935697906,0.07687295798317127,5444524.305555556
58,5,10,5,0.009797348348585208,0.009767713878594153,0.01032810197288472,0.02768169462690231,1748281.25
59,5,10,6,0.016460067732848242,0.026499873165972326,0.07077961627011965,0.10829322651078732,7487572.916666667
60,5,10,7,0.01628764668512548,0.02828866406292811,0.0696109953772709,0.10610548583397146,7386468.75
61,5,10,8,0.01264369669233328,0.023132014681061987,0.05352137061575037,0.08348409167949536,5904993.055555556
62,5,10,9,0.014761776415803583,0.02627362184322916,0.07981572847196579,0.11627255438202262,7909781.25
63,5,10,10,0.011496979789998576,0.019994421588396996,0.04559263580601455,0.0758528828487314,5292072.916666667
64,10,2,3,0.00705595193268091,0.010879489574789396,0.012441975692532877,0.031031163247263478,1948520.8333333333
65,10,2,4,0.006937872587320274,0.011930943113745127,0.010999610979260202,0.029625605954209176,1944083.3333333333
66,10,2,5,0.004560039979581175,0.009788942551327538,0.01003135708788902,0.02594209889417941,1738194.4444444445
67,10,2,6,0.004717062127279862,0.0264430052810684,0.030040769965157966,0.05169350506298902,3522472.222222222
68,10,2,7,0.004273691327174303,0.037814809448565065,0.047643367035853756,0.07247593531504962,5165385.416666667
69,10,2,8,0.00284228309354054,0.055649508785960505,0.02883375762687144,0.05291189580353879,3921572.9166666665
70,10,2,9,0.0027134871329022765,0.02693675344048929,0.01662150074984782,0.03703877679226019,2569305.5555555555
71,10,2,10,0.0029135308454266012,0.06342935492801934,0.04988300313270966,0.06871368603231105,4791618.055555556
72,10,5,3,0.00844727254209608,0.0094275407473216,0.013020014800253901,0.030702142606841853,1947756.9444444445
73,10,5,4,0.00840836612165213,0.009542444491768887,0.011278202247791736,0.028661901875336227,1859781.25
74,10,5,5,0.006564091164252378,0.008275526902426252,0.011108169195246114,0.027219237096538236,1856017.361111111
75,10,5,6,0.009698213783978577,0.01959527401588467,0.04456427453316325,0.07252523997462922,5089152.777777778
76,10,5,7,0.008009262333431112,0.009538745706130624,0.013103455423246212,0.030890589761972866,1964579.861111111
77,10,5,8,0.008269417038515327,0.012561243959132452,0.012444013975329932,0.033701737961307765,2349052.0833333335
78,10,5,9,0.007736317912275116,0.016969576877397835,0.01765434375290727,0.040351026561139335,2881892.361111111
79,10,5,10,0.006466539922345929,0.022275609420130286,0.011043416303973421,0.03013139340283773,1903524.3055555555
80,10,7,3,0.009008819248948852,0.009623601554809378,0.011707140003997384,0.02950081199761255,1890829.861111111
81,10,7,4,0.01683786683330639,0.03198041496460784,0.04734223306090346,0.08320955017294475,6183604.166666667
82,10,7,5,0.01239653760961007,0.01836801272654071,0.04938701330580023,0.0848187080576937,6333923.611111111
83,10,7,6,0.014545030097853951,0.02825052027894615,0.07219385009130887,0.11034483253233492,7680777.777777778
84,10,7,7,0.011580253809632735,0.023131131287010186,0.05969266610278506,0.09252018239908687,6501100.694444444
85,10,7,8,0.010716062851724335,0.021431949944899803,0.05352907237701965,0.0814526227115425,5842819.444444444
86,10,7,9,0.00894447986568054,0.014947104159922536,0.03168766186475884,0.054640396195232616,3670663.1944444445
87,10,7,10,0.008653782346314427,0.011884452654051234,0.022028701576357338,0.04449706033679656,2893732.638888889
88,10,10,3,0.00947177827854004,0.009189004317441326,0.010074024926095522,0.02716367514917783,1791340.2777777778
89,10,10,4,0.01757490024998535,0.026431273512611424,0.042293746977906235,0.0795061896717254,5722680.555555556
90,10,10,5,0.018134467809214974,0.016999209732408798,0.05170833045227903,0.0870013438452526,6570298.611111111
91,10,10,6,0.013385056002487591,0.021907593697581294,0.059176164920094504,0.0940675638415902,6586958.333333333
92,10,10,7,0.016891977693940453,0.024161982901840504,0.06968849514500125,0.10766876952538133,7573045.138888889
93,10,10,8,0.014647210447098628,0.022764737888059793,0.057227533815287265,0.0948502582070233,6708239.583333333
94,10,10,9,0.015002049400567166,0.025268761224423685,0.07601926398422712,0.11425208530203247,7899743.055555556
95,10,10,10,0.010506284243829121,0.017331464030149252,0.04367826019244499,0.07644981565482294,5447177.083333333
96,20,2,3,0.006281565400438927,0.010111852808348636,0.011936330410113438,0.031199257295107665,2024795.138888889
97,20,2,4,0.006153216103974372,0.01126634748945277,0.010606517799980899,0.029846580833714886,1998746.5277777778
98,20,2,5,0.004024430888022786,0.009154233508209689,0.009476235566163404,0.026034756283652163,1790697.9166666667
99,20,2,6,0.004693157950402228,0.015162802861296735,0.0141507443439778,0.03408412081980134,2214170.138888889
100,20,2,7,0.0026471191871727156,0.010490619374122039,0.009399767869946354,0.026279734959274874,1772777.7777777778
101,20,2,8,0.0023069272889366965,0.04008780214164733,0.03535755218258288,0.06298720264317272,4727760.416666667
102,20,2,9,0.002167206601532085,0.1642132997171512,0.03512899978978864,0.05563241605721166,3811302.0833333335
103,20,2,10,0.002198590009638069,0.07212561792977962,0.012088624943217356,0.03178720206665734,1908819.4444444445
104,20,5,3,0.00759969068445287,0.00859614046556625,0.012078731673391808,0.0302765995048382,2001062.5
105,20,5,4,0.0075605455109541185,0.008669278238909449,0.01054040556612856,0.028377520032137914,1900750.0
106,20,5,5,0.005945939885477779,0.007595244159753782,0.010201221129482076,0.026984805534852732,1895930.5555555555
107,20,5,6,0.0074247193217557815,0.010063958399549093,0.01686759967811302,0.037228278625695936,2430493.0555555555
108,20,5,7,0.007230450117328469,0.010362445870260951,0.020437354467145428,0.0424482589673418,2820756.9444444445
109,20,5,8,0.006951852228417977,0.01083555187897109,0.015399640207976363,0.037043343062093496,2450899.3055555555
110,20,5,9,0.006791819837715679,0.015037705763265304,0.02006382259672302,0.040680408135864925,2844045.138888889
111,20,5,10,0.004809351160900343,0.01031599467946923,0.009856878141775799,0.02736588365521351,1905184.0277777778
112,20,7,3,0.008161579448623252,0.008761849726388764,0.010826978541568628,0.028972175823073768,1918798.611111111
113,20,7,4,0.01507893451020271,0.033252285520915546,0.03989585782237566,0.07386336986734185,5632399.305555556
114,20,7,5,0.016430225232209664,0.01778808975225739,0.052539630909885886,0.08818743325919566,6458138.888888889
115,20,7,6,0.010370749431783979,0.020177664149959213,0.053076372350004154,0.08585658404790864,6176878.472222222
116,20,7,7,0.01042980613866494,0.02160112412421947,0.05862142451137849,0.09139976158124424,6638218.75
117,20,7,8,0.009168418608107994,0.027187065228634295,0.04123468167094188,0.0624325742140698,4512902.777777778
118,20,7,9,0.009076428967577394,0.01751719127879154,0.048331291856055184,0.07884147185111026,5751756.944444444
119,20,7,10,0.007606178727661542,0.0112620744356076,0.020558618529815192,0.0427510470921232,2799329.861111111
120,20,10,3,0.008612646378112532,0.008325500458403242,0.009451268974623691,0.02688853106419045,1817152.7777777778
121,20,10,4,0.01604481539503761,0.020862103498599224,0.05331946928472491,0.0919237506181033,6798225.694444444
122,20,10,5,0.01654021295908701,0.017949688950396468,0.04692215764805331,0.07965641418096027,5932229.166666667
123,20,10,6,0.016279947517937723,0.021473877469209965,0.06997447635891561,0.10908077939781242,7741486.111111111
124,20,10,7,0.0159156274155242,0.02188280590731028,0.07248726600027554,0.11104561780289907,7835944.444444444
125,20,10,8,0.01459540660523087,0.0230029742428288,0.07245674164543878,0.11184800084549895,7848972.222222222
126,20,10,9,0.014062587241943038,0.0247553435716252,0.0826023417141002,0.12131734868670441,8328413.194444444
127,20,10,10,0.008867030602084497,0.022639355017774088,0.03199662119058739,0.054220575901364025,3807354.1666666665
