,Window,History,SVD rank,MSE,IIEE,MAE
115,5,7,3,0.013883163204814494,2975652.7709960938,0.044536284990831024
116,5,7,4,0.042460995817621465,6685795.2880859375,0.092586783145811
117,5,7,5,0.014965604459732955,3210854.1870117188,0.046331421687645584
118,5,7,6,0.019253251484622376,3212270.8129882812,0.05087291470057893
119,5,7,7,0.04909701594429436,9639607.543945312,0.09783937049766044
120,5,7,8,0.017025229611966588,4631482.5439453125,0.05638571861762305
121,5,7,9,0.023356898702532596,6371329.9560546875,0.06093561590564044
122,5,7,10,0.02541059843096431,6790659.7900390625,0.06397325884936396
123,5,7,11,0.03519665144587296,9070510.25390625,0.09339008588177218
124,5,7,12,0.04039549523771243,8246461.7919921875,0.09527940055725245
125,5,7,13,0.04587560153085029,7104093.6279296875,0.09203333111652465
126,5,7,14,0.022385408928552276,1960947.8759765625,0.050069253680805774
127,5,7,15,0.039484725249061554,7855406.494140625,0.0857742606225189
128,5,7,16,0.013012157110336462,2401072.8454589844,0.041588327827350995
129,5,7,17,0.01432082362999408,4450593.8720703125,0.0478803807663738
130,5,7,18,0.02391598015075507,7867031.25,0.06908543930181198
131,5,7,19,0.03320384671112978,7023222.0458984375,0.07785565501461136
132,5,7,20,0.021918149580799445,8682444.458007812,0.0713436883022277
133,5,10,2,0.03986303322759318,9516843.872070312,0.09711649868366573
134,5,10,3,0.013020428359040857,3217163.0859375,0.04369029935864876
135,5,10,4,0.07586692214399537,7502985.83984375,0.09824849932018596
136,5,10,5,0.009824612943791732,2399371.4904785156,0.03357894666230551
137,5,10,6,0.043797441616658654,7067843.6279296875,0.08885183525422198
138,5,10,7,0.048794644977234014,9378513.793945312,0.09534050948988697
139,5,10,8,0.03282929683177576,7997399.2919921875,0.08345231762015683
140,5,10,9,0.03451351258754564,7638145.751953125,0.07566585448735433
141,5,10,10,0.048733973618095304,9552701.416015625,0.09706824353689687
142,5,10,11,0.06047919236560009,10480687.255859375,0.124117251830458
143,5,10,12,0.051861316838961,9680968.627929688,0.1129113642360224
144,5,10,13,0.07342937989215227,10426055.908203125,0.13073585090861348
145,5,10,14,0.0561105882973311,8682302.24609375,0.10346659460498459
146,5,10,15,0.014478630105715718,4310499.8779296875,0.04908305655042036
147,5,10,16,0.056476978571595914,10561920.166015625,0.1128658780875204
148,5,10,17,0.009332228644294885,2129781.1889648438,0.03309012130893804
149,5,10,18,0.01794146189464553,2893614.501953125,0.04845938554300138
150,5,10,19,0.013403632305171406,5350722.0458984375,0.05015077419812831
151,5,10,20,0.018258751951530865,4172128.6010742188,0.05354408305742717
152,10,2,2,0.053637023735850664,10335871.58203125,0.11275490049691593
153,10,2,3,0.012662626062192832,3138454.8950195312,0.04234552369555421
154,10,2,4,0.011915731602792674,3635642.3950195312,0.041882886265802347
155,10,2,5,0.017131903231069025,3508982.5439453125,0.04908385815874288
156,10,2,6,0.014816281966776989,4092507.0190429688,0.047051062491171476
157,10,2,7,0.04819377216840256,9229586.791992188,0.10152601367559223
158,10,2,8,0.027879174175321698,4283416.748046875,0.06304769222091532
159,10,2,9,0.016404766085355182,4064961.8530273438,0.04930089475065304
